output_id,standard_code,sequence,activity_name,duration_text
MUBS/P1/OBJ1/TLSS /SR/S002-O3,MUBS/P1/OBJ1/TLSS /SR/S002,7,Coursework Timetable Published,1 week before coursework period
MUBS/P1/OBJ1/TLSS /SR/S002-O3,MUBS/P1/OBJ1/TLSS /SR/S002,8,Examination Timetable Published,2 weeks before examination period
MUBS/P1/OBJ1/TLSS /SR/S002-O4,MUBS/P1/OBJ1/TLSS /SR/S002,1,Draft and Approve Orientation Programme,2 weeks before reporting
MUBS/P1/OBJ1/TLSS /SR/S002-O4,MUBS/P1/OBJ1/TLSS /SR/S002,2,Publish and Communicate Orientation Schedule,1 week before reporting
MUBS/P1/OBJ1/TLSS /SR/S002-O4,MUBS/P1/OBJ1/TLSS /SR/S002,3,General Welcome Assembly,Day 1
MUBS/P1/OBJ1/TLSS /SR/S002-O4,MUBS/P1/OBJ1/TLSS /SR/S002,4,Faculty/Departmental Briefings and Campus Tours,Days 2–3
MUBS/P1/OBJ1/TLSS /SR/S002-O4,MUBS/P1/OBJ1/TLSS /SR/S002,5,"Health, Security, Library, ICT, and Student Support Inductions",Days 4–5
MUBS/P1/OBJ1/TLSS /SR/S002-O4,MUBS/P1/OBJ1/TLSS /SR/S002,6,Post-Orientation Feedback Survey,within 3 days after completion
MUBS/P1/OBJ1/TLSS /SR/S002-O5,MUBS/P1/OBJ1/TLSS /SR/S002,1,Upload Biodata for New Entrants,1 week
MUBS/P1/OBJ1/TLSS /SR/S002-O5,MUBS/P1/OBJ1/TLSS /SR/S002,2,Verify Biodata and Academic Documents,4 weeks
MUBS/P1/OBJ1/TLSS /SR/S002-O5,MUBS/P1/OBJ1/TLSS /SR/S002,3,Activate Registration Portal for Continuing Students,1 week after release of results
MUBS/P1/OBJ1/TLSS /SR/S002-O5,MUBS/P1/OBJ1/TLSS /SR/S002,4,Course Selection and Approval of Electives/Options,where applicable
MUBS/P1/OBJ1/TLSS /SR/S002-O5,MUBS/P1/OBJ1/TLSS /SR/S002,5,"Process Withdrawal, Reinstatement, Stay-Put, and Other Academic Status Cases",throughout the semester
MUBS/P1/OBJ1/TLSS /SR/S002-O5,MUBS/P1/OBJ1/TLSS /SR/S002,6,Issue Registration Permits,immediately upon completion
MUBS/P1/OBJ1/TLSS /SR/S002-O5,MUBS/P1/OBJ1/TLSS /SR/S002,7,Requisition new identity cards,1 week
MUBS/P1/OBJ1/TLSS /SR/S002-O5,MUBS/P1/OBJ1/TLSS /SR/S002,8,Compilation of disaggregated Statistical data and report,Within two weeks
MUBS/P1/OBJ1/TLSS /SR/S002-O6,MUBS/P1/OBJ1/TLSS /SR/S002,1,Approved Formative Assessment timetable,4 Weeks before commencement
MUBS/P1/OBJ1/TLSS /SR/S002-O6,MUBS/P1/OBJ1/TLSS /SR/S002,2,Approved course outline,1 week of the semester
MUBS/P1/OBJ1/TLSS /SR/S002-O6,MUBS/P1/OBJ1/TLSS /SR/S002,3,submission of draft question to HOD by Internal Examiner,4 weeks
MUBS/P1/OBJ1/TLSS /SR/S002-O6,MUBS/P1/OBJ1/TLSS /SR/S002,4,Verification of adherence of the approved guidelines,1 week before commencement of exams
MUBS/P1/OBJ1/TLSS /SR/S002-O6,MUBS/P1/OBJ1/TLSS /SR/S002,5,Approved moderation submission form,2 days
MUBS/P1/OBJ1/TLSS /SR/S002-O6,MUBS/P1/OBJ1/TLSS /SR/S002,6,Submission to the production Unit,Immediate
MUBS/P1/OBJ1/TLSS /SR/S002-O7,MUBS/P1/OBJ1/TLSS /SR/S002,1,Receive Approved Moderated Formative Assessment Question Papers,2 Weeks before commencement
MUBS/P1/OBJ1/TLSS /SR/S002-O7,MUBS/P1/OBJ1/TLSS /SR/S002,2,Verification and custody,2 days
MUBS/P1/OBJ1/TLSS /SR/S002-O7,MUBS/P1/OBJ1/TLSS /SR/S002,3,Printing and Quality checks,Case by case
MUBS/P1/OBJ1/TLSS /SR/S002-O7,MUBS/P1/OBJ1/TLSS /SR/S002,4,"Verification, Packaging and Labelling",immediately after printing
MUBS/P1/OBJ1/TLSS /SR/S002-O7,MUBS/P1/OBJ1/TLSS /SR/S002,5,Issuing Printed Formative Assessment Question Papers to Internal examiners,As per schedule
MUBS/P1/OBJ1/TLSS /SR/S002-O7,MUBS/P1/OBJ1/TLSS /SR/S002,6,Reports,1 Week after examination period
MUBS/P1/OBJ1/TLSS /SR/S002-O8,MUBS/P1/OBJ1/TLSS /SR/S002,1,Verification,Instant
MUBS/P1/OBJ1/TLSS /SR/S002-O8,MUBS/P1/OBJ1/TLSS /SR/S002,2,Issuance of formative assessment question papers and materials to internal examiners/campus chiefs,at least 3 days before commencement for campuses & main campus as per schedule
MUBS/P1/OBJ1/TLSS /SR/S002-O8,MUBS/P1/OBJ1/TLSS /SR/S002,3,designated examination venue,immediate
MUBS/P1/OBJ1/TLSS /SR/S002-O9,MUBS/P1/OBJ1/TLSS /SR/S002,1,Confirm sitting arrangement,as per schedule
MUBS/P1/OBJ1/TLSS /SR/S002-O9,MUBS/P1/OBJ1/TLSS /SR/S002,2,Pick Printed Question Papers and materials from internal examiners,Not more than 30 minutes before the start of the exam
MUBS/P1/OBJ1/TLSS /SR/S002-O9,MUBS/P1/OBJ1/TLSS /SR/S002,3,distribute question papers and assessment materials,Before examination scheduled time
MUBS/P1/OBJ1/TLSS /SR/S002-O9,MUBS/P1/OBJ1/TLSS /SR/S002,4,commencement of the examination,On time
MUBS/P1/OBJ1/TLSS /SR/S002-O9,MUBS/P1/OBJ1/TLSS /SR/S002,5,Recording attendance,Immediately
MUBS/P1/OBJ1/TLSS /SR/S002-O9,MUBS/P1/OBJ1/TLSS /SR/S002,6,Oversight role,as per examination time
MUBS/P1/OBJ1/TLSS /SR/S002-O9,MUBS/P1/OBJ1/TLSS /SR/S002,7,collection and tallying answer scripts,End of the examination
MUBS/P1/OBJ1/TLSS /SR/S002-O9,MUBS/P1/OBJ1/TLSS /SR/S002,8,"Submit answer scripts, invigilation reports, examinations Malpractices where applicable and attendance sheets to authorized staff and Unit (Instant) For other formative assessment modes that are not sit-in, other approved processes shall apply",
MUBS/P1/OBJ1/TLSS /SR/S002-O10,MUBS/P1/OBJ1/TLSS /SR/S002,1,Approved examination timetable,4 Weeks before commencement
MUBS/P1/OBJ1/TLSS /SR/S002-O10,MUBS/P1/OBJ1/TLSS /SR/S002,2,Approved course outline,1 week of the semester
MUBS/P1/OBJ1/TLSS /SR/S002-O10,MUBS/P1/OBJ1/TLSS /SR/S002,3,submission of draft question to HOD by Internal Examiner,4 weeks
MUBS/P1/OBJ1/TLSS /SR/S002-O10,MUBS/P1/OBJ1/TLSS /SR/S002,4,Verification of adherence of the approved guidelines,3 weeks before commencement of exams
MUBS/P1/OBJ1/TLSS /SR/S002-O10,MUBS/P1/OBJ1/TLSS /SR/S002,5,Approved moderation submission form,2 days
MUBS/P1/OBJ1/TLSS /SR/S002-O10,MUBS/P1/OBJ1/TLSS /SR/S002,6,Submission to the production Unit,Immediate
MUBS/P1/OBJ1/TLSS /SR/S002-O11,MUBS/P1/OBJ1/TLSS /SR/S002,1,Receive Approved Moderated Question Papers,2 Weeks before commencement
MUBS/P1/OBJ1/TLSS /SR/S002-O11,MUBS/P1/OBJ1/TLSS /SR/S002,2,Verification and custody,2 days
MUBS/P1/OBJ1/TLSS /SR/S002-O11,MUBS/P1/OBJ1/TLSS /SR/S002,3,Printing and Quality checks,Case by case
MUBS/P1/OBJ1/TLSS /SR/S002-O11,MUBS/P1/OBJ1/TLSS /SR/S002,4,"Verification, Packaging and Labelling",immediately after printing
MUBS/P1/OBJ1/TLSS /SR/S002-O11,MUBS/P1/OBJ1/TLSS /SR/S002,5,Issuing Printed Question Papers to Internal examiners,As per schedule
MUBS/P1/OBJ1/TLSS /SR/S002-O11,MUBS/P1/OBJ1/TLSS /SR/S002,6,Reports,1 Week after examination period
MUBS/P1/OBJ1/TLSS /SR/S002-O12,MUBS/P1/OBJ1/TLSS /SR/S002,1,Verification,Instant
MUBS/P1/OBJ1/TLSS /SR/S002-O12,MUBS/P1/OBJ1/TLSS /SR/S002,2,Issuance of examination question papers and materials to internal examiners/campus chiefs,at least 3 days for campuses before commencement & main campus as per schedule
MUBS/P1/OBJ1/TLSS /SR/S002-O12,MUBS/P1/OBJ1/TLSS /SR/S002,3,designated examination venue,immediate
MUBS/P1/OBJ1/TLSS /SR/S002-O13,MUBS/P1/OBJ1/TLSS /SR/S002,1,Confirm sitting arrangement,as per schedule
MUBS/P1/OBJ1/TLSS /SR/S002-O13,MUBS/P1/OBJ1/TLSS /SR/S002,2,Pick Printed Question Papers and materials from internal examiners,Not more than 30 minutes before the start of the exam
MUBS/P1/OBJ1/TLSS /SR/S002-O13,MUBS/P1/OBJ1/TLSS /SR/S002,3,distribute question papers and examination papers,Before examination scheduled time
MUBS/P1/OBJ1/TLSS /SR/S002-O13,MUBS/P1/OBJ1/TLSS /SR/S002,4,commencement of the examination,On time
MUBS/P1/OBJ1/TLSS /SR/S002-O13,MUBS/P1/OBJ1/TLSS /SR/S002,5,Recording attendance,After 30 minutes from commencement
MUBS/P1/OBJ1/TLSS /SR/S002-O13,MUBS/P1/OBJ1/TLSS /SR/S002,6,Oversight role,as per examination time
MUBS/P1/OBJ1/TLSS /SR/S002-O13,MUBS/P1/OBJ1/TLSS /SR/S002,7,collection and tallying answer scripts,End of the examination
MUBS/P1/OBJ1/TLSS /SR/S002-O13,MUBS/P1/OBJ1/TLSS /SR/S002,8,"Submit answer scripts, invigilation reports, examinations Malpractices where applicable and attendance sheets to authorized staff and Unit",Instant
MUBS/P1/OBJ1/TLSS /SR/S002-O14,MUBS/P1/OBJ1/TLSS /SR/S002,1,"Prepare for Markers (receive, batch, serialise answer scripts) during the examination period",
MUBS/P1/OBJ1/TLSS /SR/S002-O14,MUBS/P1/OBJ1/TLSS /SR/S002,2,"Receive list of appointed markers and marking load from departments, after completion of assessments",
MUBS/P1/OBJ1/TLSS /SR/S002-O14,MUBS/P1/OBJ1/TLSS /SR/S002,3,Receive markers with pre-tested and approved marking guides before marking begins,
MUBS/P1/OBJ1/TLSS /SR/S002-O14,MUBS/P1/OBJ1/TLSS /SR/S002,4,Coordinate the marking process,"issuing, recording, reconciling and returning answer scripts"
MUBS/P1/OBJ1/TLSS /SR/S002-O14,MUBS/P1/OBJ1/TLSS /SR/S002,5,Submit status reports to Academic HoDs weekly,
MUBS/P1/OBJ1/TLSS /SR/S002-O14,MUBS/P1/OBJ1/TLSS /SR/S002,6,Proceed to checking,
MUBS/P1/OBJ1/TLSS /SR/S002-O15,MUBS/P1/OBJ1/TLSS /SR/S002,1,Receives results from internal examiner,Within 3 weeks
MUBS/P1/OBJ1/TLSS /SR/S002-O15,MUBS/P1/OBJ1/TLSS /SR/S002,2,submit to QAD for checking,Within 3 weeks
MUBS/P1/OBJ1/TLSS /SR/S002-O15,MUBS/P1/OBJ1/TLSS /SR/S002,3,Approval of results Faculty Examiners’ Board,2 weeks
MUBS/P1/OBJ1/TLSS /SR/S002-O15,MUBS/P1/OBJ1/TLSS /SR/S002,4,Submit results to Faculties where programmes are housed,2 Working Days
MUBS/P1/OBJ1/TLSS /SR/S002-O15,MUBS/P1/OBJ1/TLSS /SR/S002,5,Hold Faculty Board,Within 2 weeks
MUBS/P1/OBJ1/TLSS /SR/S002-O15,MUBS/P1/OBJ1/TLSS /SR/S002,6,Provisionals release of results,2 Working Days
MUBS/P1/OBJ1/TLSS /SR/S002-O15,MUBS/P1/OBJ1/TLSS /SR/S002,7,Results compliant and feedback,Routine
MUBS/P1/OBJ1/TLSS /SR/S002-O15,MUBS/P1/OBJ1/TLSS /SR/S002,8,Proceed to Academic Board for Approval/Recommendations,2 weeks
MUBS/P1/OBJ1/TLSS /SR/S002-O15,MUBS/P1/OBJ1/TLSS /SR/S002,9,Uploading and Publishing of results,2 working days
MUBS/P1/OBJ1/TLSS /SR/S002-O16,MUBS/P1/OBJ1/TLSS /SR/S002,1,Receive appointed checkers,Immediately after marking
MUBS/P1/OBJ1/TLSS /SR/S002-O16,MUBS/P1/OBJ1/TLSS /SR/S002,2,Induct checkers,1 day
MUBS/P1/OBJ1/TLSS /SR/S002-O16,MUBS/P1/OBJ1/TLSS /SR/S002,3,Assign workload,Continuous
MUBS/P1/OBJ1/TLSS /SR/S002-O16,MUBS/P1/OBJ1/TLSS /SR/S002,4,coordinate checking process,Continuous
MUBS/P1/OBJ1/TLSS /SR/S002-O16,MUBS/P1/OBJ1/TLSS /SR/S002,5,Compile Checkers’ Comments,daily
MUBS/P1/OBJ1/TLSS /SR/S002-O16,MUBS/P1/OBJ1/TLSS /SR/S002,6,Prepare Reports,within 3 weeks
MUBS/P1/OBJ1/TLSS /SR/S002-O16,MUBS/P1/OBJ1/TLSS /SR/S002,7,"Submit Reports to Deans, HODs, and Internal Examiners",Within 3 weeks
MUBS/P1/OBJ1/TLSS /SR/S002-O16,MUBS/P1/OBJ1/TLSS /SR/S002,8,Receipt of Corrected Results Mark sheets,Immediate
MUBS/P1/OBJ1/TLSS /SR/S002-O16,MUBS/P1/OBJ1/TLSS /SR/S002,9,Verify and Confirm Corrections,Immediate
MUBS/P1/OBJ1/TLSS /SR/S002-O16,MUBS/P1/OBJ1/TLSS /SR/S002,10,Submit examination report to Management,1 weeks
MUBS/P1/OBJ1/TLSS /SR/S002-O17,MUBS/P1/OBJ1/TLSS /SR/S002,1,Invitation of EE by HODs,6 months before commencement of Academic Year
MUBS/P1/OBJ1/TLSS /SR/S002-O17,MUBS/P1/OBJ1/TLSS /SR/S002,2,Confirmation availability by EE,Beginning of Semester
MUBS/P1/OBJ1/TLSS /SR/S002-O17,MUBS/P1/OBJ1/TLSS /SR/S002,3,Requests and approval of logistical requirements,Within 4 Weeks
MUBS/P1/OBJ1/TLSS /SR/S002-O17,MUBS/P1/OBJ1/TLSS /SR/S002,4,Examining,1-2 Weeks
MUBS/P1/OBJ1/TLSS /SR/S002-O17,MUBS/P1/OBJ1/TLSS /SR/S002,5,Meeting Faculty staff,End of examining period
MUBS/P1/OBJ1/TLSS /SR/S002-O17,MUBS/P1/OBJ1/TLSS /SR/S002,6,Submission of Reports,Immediate
MUBS/P1/OBJ1/TLSS /SR/S002-O18,MUBS/P1/OBJ1/TLSS /SR/S002,1,Stock taking,4 Weeks
MUBS/P1/OBJ1/TLSS /SR/S002-O18,MUBS/P1/OBJ1/TLSS /SR/S002,2,Monitor and Manage Storage Conditions,continuous
MUBS/P1/OBJ1/TLSS /SR/S002-O18,MUBS/P1/OBJ1/TLSS /SR/S002,3,Conduct Verification and Audit of Stored Scripts,Once a year
MUBS/P1/OBJ1/TLSS /SR/S002-O18,MUBS/P1/OBJ1/TLSS /SR/S002,4,Identify Scripts Due for Disposal,Once a year
MUBS/P1/OBJ1/TLSS /SR/S002-O18,MUBS/P1/OBJ1/TLSS /SR/S002,5,Report to Management,2 Weeks
MUBS/P1/OBJ1/TLSS /SR/S002-O19,MUBS/P1/OBJ1/TLSS /SR/S002,1,Request for document,Open
MUBS/P1/OBJ1/TLSS /SR/S002-O19,MUBS/P1/OBJ1/TLSS /SR/S002,2,Verification,Within a Week
MUBS/P1/OBJ1/TLSS /SR/S002-O19,MUBS/P1/OBJ1/TLSS /SR/S002,3,Approval,1 Week
MUBS/P1/OBJ1/TLSS /SR/S002-O19,MUBS/P1/OBJ1/TLSS /SR/S002,4,Issuance,Immediate after Approval
MUBS/P1/OBJ1/TLSS /SR/S002-O19,MUBS/P1/OBJ1/TLSS /SR/S002,5,Reports,Monthly
MUBS/P1/OBJ1/TLSS /SR/S002-O20,MUBS/P1/OBJ1/TLSS /SR/S002,1,Disseminate Academic Board–Approved Lists,8 weeks before ceremony
MUBS/P1/OBJ1/TLSS /SR/S002-O20,MUBS/P1/OBJ1/TLSS /SR/S002,2,"Issue Notices, Invitations, and Instructions",from 6 weeks before ceremony
MUBS/P1/OBJ1/TLSS /SR/S002-O20,MUBS/P1/OBJ1/TLSS /SR/S002,3,"Coordinate Venue, Seating, Security, and Gown Distribution",6 weeks before ceremony
MUBS/P1/OBJ1/TLSS /SR/S002-O20,MUBS/P1/OBJ1/TLSS /SR/S002,4,"Conduct Graduation Ceremony (Academic Procession, Speeches, and Award of Degrees)",Graduation Day
MUBS/P1/OBJ1/TLSS /SR/S002-O20,MUBS/P1/OBJ1/TLSS /SR/S002,5,Post evaluation report,1 week after graduation
MUBS/P1/OBJ1/TLSS /SR/S002-O21,MUBS/P1/OBJ1/TLSS /SR/S002,1,Approved Annual Academic Board/Sub-Committee Meeting Schedule,As per schedule
MUBS/P1/OBJ1/TLSS /SR/S002-O21,MUBS/P1/OBJ1/TLSS /SR/S002,2,Call for Agenda Items,6 weeks before meeting
MUBS/P1/OBJ1/TLSS /SR/S002-O21,MUBS/P1/OBJ1/TLSS /SR/S002,3,Set Agenda,4 weeks before meeting
MUBS/P1/OBJ1/TLSS /SR/S002-O21,MUBS/P1/OBJ1/TLSS /SR/S002,4,Compile and Review Board Papers,2 weeks before meeting
MUBS/P1/OBJ1/TLSS /SR/S002-O21,MUBS/P1/OBJ1/TLSS /SR/S002,5,Verify Submissions,"policy, financial, completeness"
MUBS/P1/OBJ1/TLSS /SR/S002-O21,MUBS/P1/OBJ1/TLSS /SR/S002,6,Distribute Board Pack,14 days before meeting
MUBS/P1/OBJ1/TLSS /SR/S002-O21,MUBS/P1/OBJ1/TLSS /SR/S002,7,Conduct Board Meeting with Secretariat Support,
MUBS/P1/OBJ1/TLSS /SR/S002-O21,MUBS/P1/OBJ1/TLSS /SR/S002,8,Prepare Minutes and Track Actions,
MUBS/P1/OBJ1/TLSS /SR/S002-O21,MUBS/P1/OBJ1/TLSS /SR/S002,9,Circulate Draft Minutes,within 14 working days
MUBS/P1/OBJ1/TLSS /SR/S002-O21,MUBS/P1/OBJ1/TLSS /SR/S002,10,Resolution Tracking,As per time frame
MUBS/P1/OBJ1/TLSS /SR/S002-O22,MUBS/P1/OBJ1/TLSS /SR/S002,1,Request Semester Results from Academic Departments,2 weeks after Academic Board
MUBS/P1/OBJ1/TLSS /SR/S002-O22,MUBS/P1/OBJ1/TLSS /SR/S002,2,Receive Departmental Responses,1 week
MUBS/P1/OBJ1/TLSS /SR/S002-O22,MUBS/P1/OBJ1/TLSS /SR/S002,3,Compile Faculty and Programme Performance Analyses,4 weeks
MUBS/P1/OBJ1/TLSS /SR/S002-O22,MUBS/P1/OBJ1/TLSS /SR/S002,4,Prepare Consolidated Student Performance Report with disaggregated data,1 Week
MUBS/P1/OBJ1/TLSS /SR/S002-O22,MUBS/P1/OBJ1/TLSS /SR/S002,5,Submit Report to the Principal,1 day
MUBS/P1/OBJ1/TLSS/F&Ds/S001-O24,MUBS/P1/OBJ1/TLSS/F&Ds/S001,1,"Departmental sourcing, verification and recommendations of IE &EE to Faculty Board",6 months before beginning of AY
MUBS/P1/OBJ1/TLSS/F&Ds/S001-O24,MUBS/P1/OBJ1/TLSS/F&Ds/S001,2,Faculty Board recommendations of IE & EE to AB,4 weeks
MUBS/P1/OBJ1/TLSS/F&Ds/S001-O24,MUBS/P1/OBJ1/TLSS/F&Ds/S001,3,Appointments of IE & EE),Within 4 weeks
MUBS/P1/OBJ1/TLSS/F&Ds/S001-O24,MUBS/P1/OBJ1/TLSS/F&Ds/S001,4,Report to management,Immediate
MUBS/P1/OBJ1/TLSS/F&Ds/S001-O25,MUBS/P1/OBJ1/TLSS/F&Ds/S001,1,Appointed Internal Examiner,4 weeks before commencement of semester
MUBS/P1/OBJ1/TLSS/F&Ds/S001-O25,MUBS/P1/OBJ1/TLSS/F&Ds/S001,2,Develop/Update Course Outline,Before beginning of semester
MUBS/P1/OBJ1/TLSS/F&Ds/S001-O25,MUBS/P1/OBJ1/TLSS/F&Ds/S001,3,Lecture instruction and delivery,As per the teaching timetable
MUBS/P1/OBJ1/TLSS/F&Ds/S001-O25,MUBS/P1/OBJ1/TLSS/F&Ds/S001,4,Recording of attendance,Per lecture
MUBS/P1/OBJ1/TLSS/F&Ds/S001-O25,MUBS/P1/OBJ1/TLSS/F&Ds/S001,5,Uploading materials,Per lecture
MUBS/P1/OBJ1/TLSS/F&Ds/S001-O25,MUBS/P1/OBJ1/TLSS/F&Ds/S001,6,"Monitoring, Evaluation and Feedback",Weekly
MUBS/P1/OBJ1/TLSS/F&Ds/S001-O25,MUBS/P1/OBJ1/TLSS/F&Ds/S001,7,Report to HOD,As necessary
MUBS/P1/OBJ1/TLSS/F&Ds/S001-O27,MUBS/P1/OBJ1/TLSS/F&Ds/S001,1,Study Teaching Timetable,1 day
MUBS/P1/OBJ1/TLSS/F&Ds/S001-O27,MUBS/P1/OBJ1/TLSS/F&Ds/S001,2,Prepare SECAT Forms,Weeks 8–9
MUBS/P1/OBJ1/TLSS/F&Ds/S001-O27,MUBS/P1/OBJ1/TLSS/F&Ds/S001,3,Departmental Verification,3 days
MUBS/P1/OBJ1/TLSS/F&Ds/S001-O27,MUBS/P1/OBJ1/TLSS/F&Ds/S001,4,Form Retrieval for Updates,1 day
MUBS/P1/OBJ1/TLSS/F&Ds/S001-O27,MUBS/P1/OBJ1/TLSS/F&Ds/S001,5,Print Final Forms,2 days
MUBS/P1/OBJ1/TLSS/F&Ds/S001-O27,MUBS/P1/OBJ1/TLSS/F&Ds/S001,6,SECAT Briefing Meeting,1 day
MUBS/P1/OBJ1/TLSS/F&Ds/S001-O27,MUBS/P1/OBJ1/TLSS/F&Ds/S001,7,Distribute & Collect Forms,Weeks 10–12
MUBS/P1/OBJ1/TLSS/F&Ds/S001-O27,MUBS/P1/OBJ1/TLSS/F&Ds/S001,8,Data Capture,4 weeks
MUBS/P1/OBJ1/TLSS/F&Ds/S001-O27,MUBS/P1/OBJ1/TLSS/F&Ds/S001,9,Analyse & Compile Report,Week 1 next semester
MUBS/P1/OBJ1/TLSS/F&Ds/S001-O27,MUBS/P1/OBJ1/TLSS/F&Ds/S001,10,Submit Report to Principal,Week 2 next semester
MUBS/P1/OBJ1/TLSS/F&Ds/S002-O28,MUBS/P1/OBJ1/TLSS/F&Ds/S002,1,Submission of FA acceptance letters by Students to FA coordinators,Before end of semester two every Academic Year
MUBS/P1/OBJ1/TLSS/F&Ds/S002-O28,MUBS/P1/OBJ1/TLSS/F&Ds/S002,2,Effective Allocation of Academic Supervisors to students,8 Weeks before commencement
MUBS/P1/OBJ1/TLSS/F&Ds/S002-O28,MUBS/P1/OBJ1/TLSS/F&Ds/S002,3,Submission of Allocation lists and Facilitation for Approval,8 Weeks before commencement
MUBS/P1/OBJ1/TLSS/F&Ds/S002-O28,MUBS/P1/OBJ1/TLSS/F&Ds/S002,4,Receipt of Facilitation and FA Materials,4 Weeks
MUBS/P1/OBJ1/TLSS/F&Ds/S002-O28,MUBS/P1/OBJ1/TLSS/F&Ds/S002,5,Supervision,As per schedule
MUBS/P1/OBJ1/TLSS/F&Ds/S002-O28,MUBS/P1/OBJ1/TLSS/F&Ds/S002,6,"Monitoring, Evaluation and Feedback",4 Weeks
MUBS/P1/OBJ1/TLSS/F&Ds/S002-O28,MUBS/P1/OBJ1/TLSS/F&Ds/S002,7,Submission of FA Reports,2 Weeks
MUBS/P1/OBJ1/TLSS/FGSR/S001-O29,MUBS/P1/OBJ1/TLSS/FGSR/S001,1,Concept development,Before end of semester two of year one
MUBS/P1/OBJ1/TLSS/FGSR/S001-O29,MUBS/P1/OBJ1/TLSS/FGSR/S001,2,Supervisor Allocation,On approval of Concept Dev’t
MUBS/P1/OBJ1/TLSS/FGSR/S001-O29,MUBS/P1/OBJ1/TLSS/FGSR/S001,3,Proposal Development and supervision,8 Weeks
MUBS/P1/OBJ1/TLSS/FGSR/S001-O29,MUBS/P1/OBJ1/TLSS/FGSR/S001,4,Plagiarism/REC compliance,4 Weeks
MUBS/P1/OBJ1/TLSS/FGSR/S001-O29,MUBS/P1/OBJ1/TLSS/FGSR/S001,5,Proposal Review & Feedback,3 Weeks
MUBS/P1/OBJ1/TLSS/FGSR/S001-O29,MUBS/P1/OBJ1/TLSS/FGSR/S001,6,Submission of Corrected Proposal,1 Week
MUBS/P1/OBJ1/TLSS/FGSR/S001-O29,MUBS/P1/OBJ1/TLSS/FGSR/S001,7,Data Collection and Analysis,4 Weeks
MUBS/P1/OBJ1/TLSS/FGSR/S001-O29,MUBS/P1/OBJ1/TLSS/FGSR/S001,8,Dissertation/Thesis/Project writing,4 Weeks
